DEPTH,CKH,CPOR,DT,DTSM,GR,NPHI,PHIE,RHOB,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
-358.58,-999.25,-999.25,-999.25,-999.25,9.197,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-358.08,-999.25,-999.25,-999.25,-999.25,8.969,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-357.58,-999.25,-999.25,-999.25,-999.25,8.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-357.08,-999.25,-999.25,-999.25,-999.25,8.034,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-356.58,-999.25,-999.25,-999.25,-999.25,8.619,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-356.08,-999.25,-999.25,-999.25,-999.25,10.452,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-355.58,-999.25,-999.25,-999.25,-999.25,10.767,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-355.08,-999.25,-999.25,-999.25,-999.25,9.128,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-354.58,-999.25,-999.25,-999.25,-999.25,8.682,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-354.08,-999.25,-999.25,-999.25,-999.25,10.022,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-353.58,-999.25,-999.25,-999.25,-999.25,10.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-353.08,-999.25,-999.25,-999.25,-999.25,9.85,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-352.58,-999.25,-999.25,-999.25,-999.25,9.392,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-352.08,-999.25,-999.25,-999.25,-999.25,9.587,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-351.58,-999.25,-999.25,-999.25,-999.25,9.776,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-351.08,-999.25,-999.25,-999.25,-999.25,9.91,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-350.58,-999.25,-999.25,-999.25,-999.25,10.171,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-350.08,-999.25,-999.25,-999.25,-999.25,10.458,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-349.58,-999.25,-999.25,-999.25,-999.25,10.303,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-349.08,-999.25,-999.25,-999.25,-999.25,9.198,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
